package_pin,mcu_pin,current_net,subsystem,kind,verification,notes
85,PD14,LCD_SCK,lcd,gpio,hardware-tested,UC1638 serial clock
86,PD15,LCD_RST,lcd,gpio,hardware-tested,UC1638 reset
87,PG2,LCD_SDAI,lcd,gpio,hardware-tested,UC1638 serial data input
88,PG3,LCD_SDAO,lcd,gpio,schematic,UC1638 serial data output; not used by current write-only driver
89,PG4,VS_CS,audio,gpio,schematic,VS1053 control chip select
90,PG5,VS_DREQ,audio,gpio,schematic,VS1053 data request
91,PG6,VS_RST,audio,gpio,schematic,VS1053 reset
92,PG7,VS_XDCS,audio,gpio,schematic,VS1053 data chip select
93,PG8,BELL,buzzer,gpio,schematic,
94,VSS,GND,power,ground,schematic,
95,VDD,V33,power,supply,schematic,
96,PC6,TACHOC1,motor-feedback,gpio,schematic,
97,PC7,TACHOC0,motor-feedback,gpio,schematic,
98,PC8,TACHOD1,motor-feedback,gpio,schematic,
99,PC9,TACHOD0,motor-feedback,gpio,schematic,
100,PA8,LCD_LED,lcd,gpio,schematic,backlight control; current APP leaves Bootloader state unchanged
101,PA9,MDIN1,motor-output-d,gpio,schematic,
102,PA10,MDIN0,motor-output-d,gpio,schematic,
103,PA11,HOSTDM2,usb-host,gpio,schematic,second USB FS net
104,PA12,HOSTDP2,usb-host,gpio,schematic,second USB FS net
105,PA13,SWDIO,debug,gpio,schematic,SWD
106,VCAP_2,VCAP_2,power,internal-cap,schematic,
107,VSS,GND,power,ground,schematic,
108,VDD,V33,power,supply,schematic,
109,PA14,SWCLK,debug,gpio,schematic,SWD
110,PA15,SPI0_CS,external-flash,gpio,schematic,W25Q64 chip select
111,PC10,VS_SCK,audio-and-flash,gpio,schematic,SPI3 clock shared by VS1053 and W25Q64
112,PC11,VS_MISO,audio-and-flash,gpio,schematic,SPI3 MISO shared by VS1053 and W25Q64
113,PC12,VS_MOSI,audio-and-flash,gpio,schematic,SPI3 MOSI shared by VS1053 and W25Q64
114,PD0,MBIN0,motor-output-b,gpio,schematic,
115,PD1,MBIN1,motor-output-b,gpio,schematic,
116,PD2,LED1,status-led,gpio,schematic,
117,PD3,LED2,status-led,gpio,schematic,
118,PD4,RXINB_EN,input-port-b,gpio,schematic,
119,PD5,TXINB,input-port-b,gpio,schematic,
120,VSS,GND,power,ground,schematic,
121,VDD,V33,power,supply,schematic,
122,PD6,RXINB,input-port-b,gpio,schematic,
123,PD7,USB_DET,usb-device,gpio,schematic,USB insertion or power detect
124,PG9,BLE_RX,bluetooth,gpio,schematic,USART6 RX-side net
125,PG10,MAIN0,motor-output-a,gpio,schematic,
126,PG11,MAIN1,motor-output-a,gpio,schematic,
127,PG12,MCIN0,motor-output-c,gpio,schematic,
128,PG13,MCIN1,motor-output-c,gpio,schematic,
129,PG14,BLE_TX,bluetooth,gpio,schematic,USART6 TX-side net
130,VSS,GND,power,ground,schematic,
131,VDD,V33,power,supply,schematic,
132,PG15,RXINA_EN,input-port-a,gpio,schematic,
133,PB3,DIGIA0,input-port-a,gpio,schematic,
134,PB4,LEGDETA,input-port-a,gpio,schematic,
135,PB5,ULPI_D7,usb-hs-ulpi,gpio,hardware-tested,USB3300
136,PB6,TXINC,input-port-c,gpio,schematic,
137,PB7,RXINC,input-port-c,gpio,schematic,
138,BOOT0,GND,boot,boot,schematic,boot strap low
139,PB8,MBPWM,motor-output-b,gpio,schematic,TIM4_CH3
140,PB9,MAPWM,motor-output-a,gpio,schematic,TIM4_CH4
141,PE0,NC,system,gpio,schematic,no net shown
142,PE1,PB_DET,power-control,gpio,schematic,power key detect
143,PDR_ON,PDR_ON_BIAS,system,configuration,schematic,resistor bias network
144,VDD,V33,power,supply,schematic,
